"artifact","packaging","release"
"com.alibaba:druid:0.2.9","Jar","2012-11-28T13:48:42Z[GMT]"
"com.alibaba:druid:0.1.19","Jar","2012-03-14T10:56:53Z[GMT]"
"com.alibaba:druid:0.2.3","Jar","2012-06-07T06:09:22Z[GMT]"
"com.alibaba:druid:0.2.10","Jar","2012-12-24T02:56:28Z[GMT]"
"com.alibaba:druid:0.2.18","Jar","2013-05-12T06:43:34Z[GMT]"
"com.alibaba:druid:0.2.19","Jar","2013-05-19T11:36:48Z[GMT]"
"com.alibaba:druid:0.2.1","Jar","2012-04-17T05:26:49Z[GMT]"
"com.alibaba:druid:0.2.13","Jar","2013-03-15T11:00:50Z[GMT]"
"com.alibaba:druid:0.2.16","Jar","2013-04-07T05:22:52Z[GMT]"
"com.alibaba:druid:0.2.7","Jar","2012-10-11T05:38:41Z[GMT]"
"com.alibaba:druid:0.2.8","Jar","2012-11-01T02:14Z[GMT]"
"com.alibaba:druid:1.0.16","Jar","2015-10-10T07:23:07Z[GMT]"
"com.alibaba:druid:1.0.11","Jar","2014-11-23T15:23:19Z[GMT]"
"com.alibaba:druid:1.0.9","Jar","2014-09-05T08:31:51Z[GMT]"
"com.alibaba:druid:1.0.13","Jar","2015-02-08T15:53:26Z[GMT]"
"com.alibaba:druid:1.0.14","Jar","2015-04-23T07:02:17Z[GMT]"
"com.alibaba:druid:1.0.5","Jar","2014-04-25T07:35:57Z[GMT]"
"com.alibaba:druid:1.0.7","Jar","2014-07-11T13:45:56Z[GMT]"
"com.alibaba:druid:1.0.12","Jar","2014-12-21T14:53:40Z[GMT]"
"com.alibaba:druid:1.0.26","Jar","2016-09-19T08:22:35Z[GMT]"
"com.alibaba:druid:1.0.29","Jar","2017-03-14T13:47:31Z[GMT]"
"com.alibaba:druid:1.0.21","Jar","2016-06-29T17:13:01Z[GMT]"
"com.alibaba:druid:1.0.18","Jar","2016-03-13T01:09:51Z[GMT]"
"com.alibaba:druid:1.1.7","Jar","2018-02-04T08:42:31Z[GMT]"
"com.alibaba:druid:1.1.6","Jar","2017-12-02T08:08:50Z[GMT]"
"com.alibaba:druid:1.0.28","Jar","2017-02-05T14:53:18Z[GMT]"
"com.alibaba:druid:1.1.8","Jar","2018-02-11T08:53:12Z[GMT]"
"com.alibaba:druid:1.1.2","Jar","2017-07-23T18:39:26Z[GMT]"
"com.alibaba:druid:1.1.10","Jar","2018-05-27T10:20Z[GMT]"
"com.alibaba:druid:1.1.5","Jar","2017-10-27T14:50:56Z[GMT]"
"com.alibaba:druid:1.1.11_preview_9","Jar","2018-09-13T13:35:52Z[GMT]"
"com.alibaba:druid:1.0.25","Jar","2016-08-21T00:13:30Z[GMT]"
"com.alibaba:druid:0.2","Jar","2012-03-21T08:14:57Z[GMT]"
"com.alibaba:druid:0.2.12","Jar","2013-03-12T17:26:22Z[GMT]"
"com.alibaba:druid:0.2.20","Jar","2013-05-26T16:19:06Z[GMT]"
"com.alibaba:druid:0.2.4","Jar","2012-07-11T08:16:36Z[GMT]"
"com.alibaba:druid:0.2.24","Jar","2013-08-05T03:22:15Z[GMT]"
"com.alibaba:druid:0.2.14","Jar","2013-03-26T05:11:20Z[GMT]"
"com.hankcs:hanlp:portable-1.2.8","Jar","2015-12-31T04:24:07Z[GMT]"
"com.hankcs:hanlp:portable-1.2.7","Jar","2015-11-12T07:13:34Z[GMT]"
"com.hankcs:hanlp:portable-1.1.5","Jar","2015-05-02T04:33:53Z[GMT]"
"com.hankcs:hanlp:portable-1.2.2","Jar","2015-05-15T00:04:38Z[GMT]"
"com.hankcs:hanlp:portable-1.5.0","Jar","2017-11-02T21:50:26Z[GMT]"
"com.hankcs:hanlp:portable-1.2.10","Jar","2016-06-21T07:48:40Z[GMT]"
"com.hankcs:hanlp:portable-1.2.11","Jar","2016-08-18T15:08:59Z[GMT]"
"com.hankcs:hanlp:portable-1.5.4","Jar","2018-02-16T17:51:33Z[GMT]"
"com.hankcs:hanlp:portable-1.3.1","Jar","2016-10-07T03:22:54Z[GMT]"
"com.hankcs:hanlp:portable-1.3.2","Jar","2016-12-31T16:13:42Z[GMT]"
"com.hankcs:hanlp:portable-1.3.3","Jar","2017-05-07T01:09:13Z[GMT]"
